"waluta","cena","Oferta od","Kategoria","Marka pojazdu","Model pojazdu","Wersja","Generacja","Rok produkcji","Przebieg","Pojemnoœæ skokowa","Rodzaj paliwa","Moc","Skrzynia biegów","Napêd","Spalanie W Mieœcie","Typ nadwozia","Emisja CO2","Liczba drzwi","Liczba miejsc","Kolor","Rodzaj koloru","VAT mar¿a","Kraj pochodzenia","Bezwypadkowy","Serwisowany w ASO","Stan","Mo¿liwoœæ finansowania","Faktura VAT","Leasing","Op³ata pocz¹tkowa","Miesiêczna rata","Liczba pozosta³ych rat","Okres gwarancji producenta","Wartoœæ wykupu","Pierwsza rejestracja","Numer rejestracyjny pojazdu","Zarejestrowany w Polsce","Pierwszy w³aœciciel","Filtr cz¹stek sta³ych","Spalanie W Cyklu Mieszanym","Spalanie Poza Miastem","Homologacja ciê¿arowa","Gwarancja dealerska (w cenie)","Zarejestrowany jako zabytek","lub do (przebieg km)","Uszkodzony","Kierownica po prawej (Anglik)","Tuning"
"PLN","31 900","Osoby prywatnej","Osobowe","Audi","A3","1.6 TDI Sportback DPF","8P (2003-2012)","2009","166 000 km","1 598 cm3","Diesel","90 KM","Manualna","Na przednie ko³a","5,30 l/100km","Kompakt","116 g/km","5","5","Bia³y","Metalik","Tak","Niemcy","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","69 900","Osoby prywatnej","Osobowe","Audi","A6",NA,"C7 (2011-2018)","2014","150 000 km","1 968 cm3","Diesel","177 KM","Manualna","Na przednie ko³a",NA,"Kombi","294 g/km","5","5","Inny kolor","Metalik","Tak","Niemcy",NA,"Tak","U¿ywane","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","89 900","Firmy","Osobowe","Audi","A4",NA,"B9 (2015-)","2018","89 500 km","1 968 cm3","Diesel","150 KM","Automatyczna","Na przednie ko³a",NA,"Kombi",NA,"5","5","Czarny",NA,"Tak","Belgia",NA,NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","272 026","Osoby prywatnej","Osobowe","Audi","A5","40 TFSI mHEV Quattro Advanced S tronic",NA,"2021","5 000 km","1 984 cm3","Benzyna","204 KM","Automatyczna","4x4 (do³¹czany automatycznie)","7 l/100km","Coupe",NA,"5","5","Bia³y","Metalik",NA,"Polska","Tak","Tak","U¿ywane",NA,"Tak","Tak","25 000 PLN","2 520 PLN","34","09/11/2024","118 000 PLN","09/11/2021","DW3PU87","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","120 000","Osoby prywatnej","Osobowe","Audi","A6","2.0 TDI ultra S tronic","C7 (2011-2018)","2016","160 760 km","1 968 cm3","Diesel","190 KM","Automatyczna","Na przednie ko³a","5 l/100km","Sedan","118 g/km","5","5","Bia³y","Per³owy",NA,"Polska","Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tak","Tak","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","20 500","Osoby prywatnej","Osobowe","Audi","A4","Avant 3.0 TDI Quattro Tiptr","B7 (2004-2007)","2006","346 776 km","2 967 cm3","Diesel","233 KM","Automatyczna","4x4 (sta³y)","11 l/100km","Kombi","223 g/km","5","5","Szary",NA,NA,NA,"Tak",NA,"U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"09/10/2006","WRA9278C","Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","24 500","Osoby prywatnej","Osobowe","Audi","A6","2.0T FSI Multitronic","C6 (2004-2011)","2006","252 000 km","1 984 cm3","Benzyna","170 KM","Automatyczna","Na przednie ko³a","11 l/100km","Kombi",NA,"5","5","Be¿owy","Metalik",NA,NA,"Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"08/04/2006","AUDI A6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLN","67 900","Osoby prywatnej","Osobowe","Audi","A6","2.0 TDI Multitronic","C7 (2011-2018)","2014","255 421 km","1 968 cm3","Diesel","177 KM","Automatyczna","Na przednie ko³a","6 l/100km","Kombi","135 g/km","5","5","Srebrny","Metalik",NA,NA,"Tak","Tak","U¿ywane",NA,NA,NA,NA,NA,NA,NA,NA,"01/04/2014",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
